IP地址,端口,回源端口,TLS,数据中心,地区,城市,网络延迟,速度
168.138.50.249,443,443,TRUE,KIX,Asia Pacific,Osaka,81 ms,24.978
141.147.147.180,443,443,TRUE,KIX,Asia Pacific,Osaka,79 ms,23.747
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,Osaka,81 ms,23.596
146.56.101.141,443,443,TRUE,ICN,Asia Pacific,Seoul,110 ms,18.861
158.180.65.145,443,443,TRUE,ICN,Asia Pacific,Seoul,103 ms,18.862
152.67.203.34,443,443,TRUE,ICN,Asia Pacific,Seoul,102 ms,18.863
158.180.89.73,443,443,TRUE,ICN,Asia Pacific,Seoul,108 ms,18.864
152.70.97.78,443,443,TRUE,NRT,Asia Pacific,Tokyo,179 ms,18.865
64.110.108.118,443,443,TRUE,KIX,Asia Pacific,Osaka,183 ms,18.866
168.138.209.31,443,443,TRUE,NRT,Asia Pacific,Tokyo,66 ms,18.867
140.238.60.225,443,443,TRUE,NRT,Asia Pacific,Tokyo,66 ms,18.868
